column,method,count,percentage,lower_bound,upper_bound,threshold
age,iqr,1,0.33333333333333337,17.13963106111502,72.54394808551203,
age,z_score,0,0.0,,,3.0
age,mad,0,0.0,,,3.5
outcome,iqr,1,0.33333333333333337,34.51575703121337,69.50042715929332,
outcome,z_score,1,0.33333333333333337,,,3.0
outcome,mad,0,0.0,,,3.5
measurement_1,iqr,17,5.964912280701754,-9.35410554782806,22.357214159155397,
measurement_1,z_score,3,1.0526315789473684,,,3.0
measurement_1,mad,17,5.964912280701754,,,3.5
measurement_2,iqr,4,1.3333333333333335,60.08663306680208,140.03351145216075,
measurement_2,z_score,0,0.0,,,3.0
measurement_2,mad,0,0.0,,,3.5
variable_a,iqr,4,1.3745704467353952,71.52332794123907,126.22214972424933,
variable_a,z_score,2,0.6872852233676976,,,3.0
variable_a,mad,0,0.0,,,3.5
variable_b,iqr,4,1.3333333333333335,52.722150123532806,104.47470242174995,
variable_b,z_score,2,0.6666666666666667,,,3.0
variable_b,mad,1,0.33333333333333337,,,3.5
